Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-63.88152	87.09538	2.4743838	-327.29602	-90.196205	30.409801	-13.42351	-123.19097	174.3158	1000.0	3999	5.6445217	4.1974344	27.122467	-6.79273	5.644602	4.198793	25.802916	-7.852069	-4.0056477	1.8633107	8.591686	-14.378564	-6.914291	0.84585196	133.8017976284027
2	-78.685844	126.36359	22.738184	-386.17035	-358.55692	215.11815	-47.98544	-650.59607	226.66667	696.0	7999	20.553244	7.186861	57.594852	-11.628201	20.553125	7.1854167	56.67289	-10.2932	-2.2907016	2.7374573	16.237757	-15.94776	-22.14606	2.8154593	318.918133020401
3	-167.73404	216.6628	-2.6644914	-737.6331	68.64515	83.66617	295.97794	3.9696815	355.36365	409.7	11999	38.908714	9.439643	80.20276	-31.183338	38.908978	9.439034	79.73764	-47.23975	-1.4506785	3.116308	23.05962	-15.650386	-40.56821	6.2701354	499.5232264995575
4	-63.274353	120.44051	15.431066	-482.70004	124.05349	122.404144	378.69373	5.694827	199.6	332.4	15999	43.53169	8.672885	80.30597	-28.514366	43.532185	8.664777	78.60012	-30.909575	-2.9186094	2.3059034	24.76453	-14.618342	-44.43093	7.1369863	673.559731721878
5	-46.214157	110.84744	89.00267	-296.0408	449.15976	250.32886	698.7564	30.727762	274.0	702.7	19999	41.75315	7.25878	73.434006	-23.849255	41.753296	7.2503095	74.01334	-37.625782	-3.0566645	2.2748954	39.393078	-15.065975	-42.549866	6.2681737	847.261417388916
6	-32.483696	95.34923	60.549557	-172.7045	430.007	232.6946	793.1364	101.23758	440.66666	703.6	23999	39.909508	6.2065864	68.93324	-32.88928	39.909355	6.2061	70.62348	-25.123775	-3.2721357	2.1314282	24.249578	-14.288113	-40.63518	5.414082	1014.9554696083069
7	-35.486748	87.123566	96.07857	-202.89041	409.7627	282.98227	812.2516	37.627193	553.25	567.1	27999	38.726646	5.5490327	64.62807	-30.549435	38.72677	5.5493736	65.59624	-23.022635	-3.3894296	2.0588083	17.274399	-13.903181	-39.442722	4.5996346	1176.9099762439728
8	6.7650733	44.014324	72.286026	-55.23864	714.63257	222.76022	922.16235	90.05525	506.42856	914.2	31999	38.689186	5.241486	64.037796	-27.508877	38.689472	5.238139	63.45787	-21.844734	-3.4358635	2.0277076	16.757275	-15.053755	-39.39814	4.194649	1344.2090492248535
9	69.647934	45.541954	136.64725	9.353991	715.9329	141.07799	945.25555	484.37875	652.8571	926.2	35999	39.35527	5.13376	66.59777	-25.8309	39.35531	5.133218	64.67922	-23.593477	-3.4899464	1.9812059	16.23252	-15.216922	-40.06151	3.8334844	1514.7897818088531
10	94.458855	48.907463	161.71191	32.082993	601.81354	274.26105	844.04596	51.969643	551.1429	774.1	39999	40.634197	5.0661607	67.1274	-32.93731	40.6348	5.062578	67.423874	-33.409184	-3.506317	1.9601754	18.651062	-15.04245	-41.33447	3.8967574	1686.7810499668121
11	98.36658	52.837902	183.25488	13.828803	760.88464	302.7823	968.9406	20.345495	469.0	853.4	43999	42.294537	5.0959597	69.20076	-18.72911	42.294273	5.089895	68.48104	-22.91128	-3.5001848	1.9539261	23.746597	-14.6930895	-42.991524	4.062341	1870.1273984909058
12	100.20552	51.63052	167.48442	32.002678	733.0692	254.25539	953.1157	36.60901	600.75	902.6	47999	44.293934	5.0971723	70.2474	-22.620861	44.294064	5.0920973	70.58207	-23.839043	-3.4735122	1.9555485	24.90058	-14.454382	-44.998756	3.7806613	2055.4432802200317
