Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-243.23424	134.15019	35.58236	-526.2549	82.416664	-0.08843324	0.03017826	0.0719779	-0.2381446	4000	5.233288e-08	46669.844	-0.009177455	-1538.0234	1.3493098	0.015378128	0.1045	24.0	8.764215230941772
1	-199.54239	103.19761	17.384596	-386.0707	87.577774	-4.202582	0.4350655	-0.583079	-4.614579	8000	1.7881394e-08	28765.299	-0.010993622	-1090.418	1.3763753	0.011632152	0.113	79.0	20.05460548400879
2	-168.58682	89.60055	-50.189445	-447.00476	97.275	-7.9247384	0.73279715	1.7999679	-8.140112	12000	8.4877016e-08	19326.145	-0.0073923883	-647.8711	1.3771679	0.0077989334	0.05725	79.0	30.89163303375244
3	-156.48955	84.44913	-43.264244	-352.41406	96.19512	-10.717861	0.052405417	-9.307748	-10.782326	16000	-1.3589859e-08	18482.77	-0.013587769	-609.72266	1.3605766	0.013322819	0.1015	79.0	41.83383226394653
4	-160.03569	107.960655	-44.648186	-491.6468	101.97436	-13.337115	0.1297329	-11.700429	-13.387792	20000	-3.6895276e-08	22086.922	-0.007983216	-629.58203	1.3503482	0.010024584	0.056	79.0	53.28317880630493
5	-135.6638	89.37929	-6.8025036	-409.31027	99.475	-16.002735	0.07938885	-15.024484	-16.039791	24000	5.4836273e-09	15742.871	-0.008558526	-422.30664	1.3586314	0.015779564	0.113	23.0	61.93641948699951
6	-131.29382	89.44923	-14.451841	-371.49564	103.86842	-18.215782	0.2525093	-13.585508	-18.263023	28000	2.6226044e-08	13440.498	-0.013321978	-345.04004	1.3509722	0.014496864	0.217	79.0	72.50880026817322
7	-124.91159	80.94885	2.2350261	-340.2058	113.62857	-20.263449	0.09929675	-18.93558	-20.290806	32000	-2.3543835e-08	11571.366	-0.0070702457	-334.28613	1.3232595	0.015133163	0.05775	32.0	81.24101257324219
8	-138.1824	88.23244	-19.646944	-341.75433	116.333336	-22.305166	0.08546793	-20.690195	-22.328638	36000	-5.364418e-08	12996.172	-0.007669619	-392.0205	1.2765417	0.0069687082	0.07	79.0	91.6605932712555
9	-143.91177	98.57151	-21.247126	-355.26694	131.2	-24.531954	0.088144325	-23.292688	-24.55782	40000	-3.516674e-09	15915.05	-0.009101296	-431.2002	1.2889017	0.007385084	0.056	79.0	102.73105978965759
10	-127.28986	87.41692	-10.872	-327.72824	142.39285	-26.905424	0.043534227	-24.716204	-26.920029	44000	-1.6510487e-08	10933.803	-0.007455101	-326.3125	1.2618507	0.006715336	0.08225	79.0	112.7571210861206
11	-77.24279	70.25345	42.34252	-225.28706	146.74074	-29.006489	0.0427409	-28.29387	-29.023518	48000	-1.3589859e-08	4703.748	-0.009273391	-98.53369	1.2240249	0.008011362	0.05575	79.0	124.70185232162476
12	-82.79989	83.05933	50.95093	-269.831	194.25	-30.19675	0.12752849	-29.547571	-30.247225	52000	8.106232e-09	6084.57	-0.007986417	-72.03223	1.2461126	0.0038543516	0.07825	79.0	135.86627054214478
13	-64.25486	67.25563	30.848833	-249.40163	206.10527	-31.218765	0.19660202	-29.917303	-31.28217	56000	1.29342075e-08	5127.581	-0.008319866	-66.342285	1.2468886	0.006803972	0.06725	79.0	145.5670349597931
14	-52.67145	54.59675	14.580358	-218.32436	200.8	-32.197807	0.28662217	-29.230715	-32.281296	60000	1.7881393e-09	4037.727	-0.011743007	-54.958984	1.2070395	0.010974147	0.08525	79.0	156.51572704315186
