Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-46.479263	40.586353	4.063031	-132.78735	-205.29456	209.92113	6.292657	-657.1994	123.84	705.3	3999	6.4331594	5.809461	39.35948	-9.904542	6.432806	5.8033676	38.942966	-10.399313	-3.2080557	2.4105282	14.877865	-14.490143	-7.9349594	1.7890009	246.95528531074524
2	-76.56216	100.56695	7.839885	-340.33252	-207.77481	361.0594	86.30363	-965.2211	222.54546	919.0	7999	30.450197	12.189429	73.38434	-10.206349	30.449305	12.184464	75.21708	-13.941825	0.0031189746	3.286421	25.19136	-15.319472	-32.956093	7.042759	599.1186842918396
3	-87.673096	207.8661	27.286978	-953.15094	-64.383835	90.03602	50.74869	-246.07169	158.29167	388.5	11999	64.30195	11.706625	103.038536	-34.61142	64.30137	11.69567	100.67676	-35.136353	1.2726984	3.9651616	31.401909	-14.069654	-66.98531	16.447418	910.8538281917572
4	-274.6127	203.66423	7.9820013	-555.78754	725.39923	33.937943	782.8103	677.5638	812.25	1000.0	15999	69.04371	9.539976	102.00338	-52.61211	69.04376	9.535442	103.180275	-36.88979	-1.7714536	2.6579008	24.515669	-14.525276	-70.08297	12.801881	1222.1591234207153
5	-40.05188	68.25406	51.164047	-189.47687	623.72217	301.69318	844.4429	24.039026	446.45456	807.8	19999	60.426956	10.524181	95.892715	-31.87484	60.426224	10.518189	97.27385	-45.133293	-2.421381	2.246358	25.818064	-14.937172	-61.234077	10.06766	1532.9327681064606
6	23.815033	30.956087	81.301506	-45.57423	820.84265	46.72548	920.0956	740.56323	322.66666	1000.0	23999	53.866306	10.245396	88.499886	-35.496635	53.86619	10.235484	88.39605	-33.619843	-2.6314576	2.0761342	25.660866	-15.061453	-54.58762	9.22219	1843.9409847259521
7	33.969334	28.264906	87.24909	-15.242312	763.17957	60.08824	820.2098	610.2472	460.55554	1000.0	27999	49.53457	9.561792	81.77848	-36.41379	49.53421	9.556909	80.599525	-37.210278	-2.7603667	1.9999795	21.293213	-14.541422	-50.233624	7.6725307	2165.0335335731506
8	42.334167	26.867434	87.47381	8.17817	634.95667	196.59897	767.2752	50.222977	408.0	904.6	31999	46.713413	9.100168	78.910416	-32.8944	46.71311	9.092843	77.0764	-23.163012	-2.8202941	1.9655237	20.403963	-16.151573	-47.393883	6.8323016	2489.5797498226166
9	63.84457	55.413033	183.12396	3.760569	843.7711	47.88521	923.85	780.1491	613.1429	1000.0	35999	45.187145	8.651185	75.33561	-26.105408	45.186604	8.648788	74.731125	-23.264107	-2.9258637	1.9397315	21.837824	-16.253862	-45.862103	6.041858	2796.3973293304443
10	128.62665	73.9736	290.17834	37.153103	884.17615	22.670427	947.3083	864.3368	455.125	1000.0	39999	44.7502	8.304023	73.368195	-29.775415	44.74994	8.2984705	74.15079	-29.881687	-2.9789166	1.9007277	27.906012	-15.812881	-45.418343	5.839326	3094.14271402359
11	225.52795	91.936134	342.92502	113.167175	917.658	38.24266	954.6806	824.729	844.4	1000.0	43999	45.249104	7.940305	75.11044	-31.765995	45.24898	7.9315567	74.1004	-28.27836	-3.0082302	1.8905054	21.74388	-14.655109	-45.90826	5.6014395	3401.4882638454437
12	141.50772	102.91454	379.0791	28.510834	828.4445	240.96161	994.1819	125.72977	386.3	908.9	47999	46.426994	7.744197	78.82405	-29.944086	46.426266	7.7376018	78.36859	-34.4567	-3.019657	1.8933398	23.917675	-16.547031	-47.07813	5.5629196	3698.4733510017395
