Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	3.812624	5.357492	23.885818	-7.2550306	21.775957	0.14245507	0.28746983	0.76636046	-0.70725375	4000	1.692772e-08	19.548393	-0.02277475	-4.562525	0.91893864	0.016458519	0.194	3.0	10.8495352268219
1	7.067205	8.866856	51.898506	-3.466416	25.297468	1.0940131	1.8358936	6.7049727	-3.8355932	8000	-2.026558e-09	44.762234	-0.023378633	-11.809635	0.9183653	0.02102061	0.24775	4.0	20.774221658706665
2	14.838051	16.471478	112.61921	-4.89066	35.660713	3.2893567	3.7478	12.921043	-11.09226	12000	1.7881394e-08	152.55096	-0.016024446	-40.019104	0.9176617	0.01613671	0.18	4.0	30.5778706073761
3	20.643038	21.150879	120.540344	-10.996547	43.736263	7.2578797	6.709237	20.656282	-19.093016	16000	-3.3974648e-09	168.27127	-0.017961375	-40.818443	0.9169833	0.01931515	0.247	5.0	40.857743978500366
4	35.65667	42.513443	256.40976	-5.270081	60.469696	9.648136	10.826529	27.923258	-24.94344	20000	4.005432e-08	566.48114	-0.009878578	-154.42233	0.91618717	0.015517327	0.26675	7.0	51.53581118583679
5	70.05074	68.539734	245.45972	-11.368382	83.65958	19.437168	15.258508	39.365295	-32.202904	24000	-1.8835069e-08	1013.18555	-0.011472016	-293.34113	0.91551596	0.01565432	0.24375	9.0	61.96373248100281
6	95.136505	84.819374	340.06113	-10.691107	109.80556	30.38461	19.738626	51.057964	-44.116535	28000	1.4305115e-09	1129.6962	-0.010526293	-269.75842	0.9147913	0.015177404	0.17975	9.0	72.11457633972168
7	127.25872	100.49994	381.94696	-19.979424	124.5	41.05992	22.046452	59.476307	-39.873505	32000	-2.1457671e-09	1394.8915	-0.01193466	-319.75708	0.9137353	0.017605264	0.179	7.0	82.50253653526306
8	144.31253	93.30359	313.9515	1.6521349	130.26666	48.903538	27.846272	67.89609	-39.554234	36000	-1.3113022e-08	1164.0627	-0.008251456	-186.68927	0.9124231	0.017516626	0.18375	7.0	92.77676749229431
9	160.88979	106.60925	338.29065	23.755817	146.8077	49.81831	29.483253	74.75623	-28.386978	40000	-2.2411346e-08	1340.2106	-0.04378149	-378.90387	0.9112083	0.015003967	0.209	76.0	104.43526983261108
10	177.08055	109.68511	434.81015	14.158758	159.6	57.377922	32.350296	79.73765	-43.205475	44000	-1.8835069e-08	1303.2909	-0.04405806	-228.60046	0.89956445	0.0129894195	0.2015	79.0	117.1090567111969
11	181.43256	88.19665	314.23953	31.559616	143.0	65.689606	29.0624	83.80858	-17.223282	48000	1.45435335e-08	1107.0292	-0.0110982945	-434.904	0.8895758	0.01652908	0.199	8.0	126.9701292514801
12	210.04749	75.07603	377.81296	22.275229	143.03703	70.512566	25.9917	88.90786	-12.461723	52000	9.298325e-09	828.938	-0.010820804	-394.74374	0.8893737	0.016539944	0.20275	7.0	137.1688232421875
13	204.64453	91.57964	333.80975	34.62391	157.2	71.30075	33.299328	97.12874	-18.499859	56000	8.34465e-09	888.99854	-0.048584595	-302.67242	0.8890541	0.011704506	0.24375	79.0	148.98374366760254
14	245.94614	63.21609	353.39548	82.42666	150.57692	83.41475	23.47245	99.152664	-11.892193	60000	-8.076429e-09	547.1327	-0.04740763	-266.42435	0.8895034	0.010249241	0.2015	79.0	161.45328950881958
15	239.24832	80.81946	345.76154	53.1353	169.69565	82.99988	34.386517	106.17376	-20.295082	64000	-1.2874604e-08	645.83636	-0.04155572	-207.14862	0.8805241	0.015213686	0.20475	54.0	172.9855227470398
16	250.70795	69.6402	361.07166	33.00412	159.44	86.16423	29.49297	108.30735	-11.53788	68000	1.4066696e-08	447.16785	-0.011734456	-197.87029	0.87696743	0.017576123	0.23325	7.0	183.37484645843506
17	223.63379	64.03742	340.98007	75.43881	164.20833	82.58421	39.61619	111.13871	-18.323261	72000	-5.722046e-09	661.8679	-0.043875016	-292.6778	0.8771647	0.0150309885	0.22025	69.0	194.9972505569458
18	248.84538	75.38873	347.23822	75.54979	165.66667	81.91117	34.465267	111.05337	-16.245096	76000	-7.867813e-09	482.67548	-0.0112965675	-205.82071	0.86903757	0.016267223	0.18575	6.0	205.44386339187622
19	248.46683	52.98373	375.56442	49.958843	146.34616	92.91361	29.239935	113.69244	-6.6981754	80000	-2.3961068e-08	271.9581	-0.04872148	-119.74579	0.8682064	0.013305355	0.2475	79.0	217.56941890716553
20	257.64807	75.570595	386.42792	62.191036	179.68182	89.79523	37.200954	115.530655	-13.938829	84000	1.7642975e-08	394.89227	-0.012250649	-178.78436	0.8598678	0.018151827	0.2475	6.0	227.36359453201294
21	262.46432	61.116207	409.6427	106.17511	164.69565	89.05248	31.950964	115.587875	-16.202576	88000	-1.1920929e-09	374.50876	-0.0070749754	-121.02663	0.85935205	0.016183129	0.187	6.0	237.81870889663696
22	256.61285	63.92645	331.19827	59.688175	172.36363	90.13958	33.894417	117.331795	-12.926002	92000	-4.2915342e-09	382.4495	-0.04891469	-140.39606	0.8590112	0.014405007	0.237	79.0	250.21803832054138
23	274.87186	68.297745	412.58182	97.68418	170.73914	92.254906	32.739807	118.38683	-13.85561	96000	3.5762786e-09	444.28754	-0.010502199	-227.50146	0.85131955	0.016119732	0.25975	6.0	260.96758675575256
24	261.7907	58.42755	379.8901	107.407455	173.30435	94.20865	33.67318	118.187004	-10.7688675	100000	6.6757204e-09	317.36053	-0.008182978	-139.58087	0.8513483	0.015220242	0.19	6.0	270.296049118042
25	298.4693	102.02744	572.0018	75.60536	197.4	91.80391	31.15291	117.60497	-8.9073715	104000	1.26361845e-08	333.27185	-0.042146664	-164.1142	0.8513986	0.015072359	0.21175	61.0	282.91196608543396
26	265.25888	54.851456	366.30795	117.714516	165.08696	96.5396	31.66029	117.713394	-9.158617	108000	6.6757204e-09	389.17566	-0.010173848	-218.69455	0.8431661	0.018281227	0.244	7.0	293.40998458862305
27	270.4891	46.568367	382.95148	193.4877	169.26086	90.129486	37.036594	119.39761	-9.034028	112000	8.34465e-09	245.93593	-0.047013436	-160.95264	0.8426344	0.013278181	0.2505	79.0	306.00202894210815
28	303.00378	58.429462	456.52264	219.18654	180.68182	100.836296	28.66168	119.455894	14.78466	116000	1.1920929e-09	73.03252	-0.011660018	-28.01646	0.83366364	0.015730906	0.2365	8.0	316.7482359409332
29	289.26694	55.05771	402.5843	160.51678	183.90475	102.02386	31.536118	121.03383	-8.845698	120000	1.6570091e-08	307.323	-0.045685004	-167.641	0.83362955	0.008211679	0.2385	79.0	329.5655822753906
30	283.7345	79.27708	580.6182	186.13164	180.90909	93.09794	35.434265	120.23164	-11.880489	124000	-2.3841857e-09	269.7567	-0.010162083	-106.00409	0.83448553	0.016793754	0.2375	7.0	340.09197521209717
31	295.54184	55.456116	418.9786	213.25636	177.13637	100.53526	28.127588	120.713844	14.261312	128000	-1.3589859e-08	63.759113	-0.045275398	-24.517933	0.83352244	0.015003548	0.22525	62.0	351.84835147857666
32	274.0857	62.28154	493.1716	168.85237	158.24	100.9264	30.19068	121.09861	13.936781	132000	1.1920929e-08	54.389393	-0.0503483	-5.8243027	0.8232679	0.010836201	0.2435	79.0	364.5038402080536
33	272.37042	57.47647	476.95163	191.57895	155.84	99.72664	30.641685	121.13034	13.753236	136000	7.152557e-09	38.14114	-0.009788424	-5.941147	0.82327944	0.017795099	0.2195	6.0	374.7907907962799
34	286.85217	51.29497	422.22256	225.73367	166.56522	101.824844	29.736307	121.5596	13.432592	140000	-9.6559525e-09	38.14839	-0.009506811	-4.5120277	0.82226694	0.016151324	0.201	6.0	384.8163468837738
35	271.918	33.123386	395.35144	220.1966	151.8077	100.08623	31.841042	122.376724	13.417576	144000	1.525879e-08	27.146078	-0.03516835	-6.76202	0.8210774	0.015167208	0.2015	27.0	395.6703770160675
